"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Adck1",2.98118723962605e-08,0.344066427322854,0.213,0.104,8.94356171887815e-05
"Psmg3",3.09550989784806e-08,-0.292924284984423,0.143,0.161,9.28652969354417e-05
"Mprip",3.23137326277264e-08,0.731737107698417,0.336,0.369,9.69411978831791e-05
"Etv1",3.30854201602959e-08,-4.0278069964048,0.168,0.015,9.92562604808877e-05
"Rab12",3.47200256417251e-08,-0.437991554798409,0.318,0.069,0.000104160076925175
"Sf3a3",3.91775507393669e-08,0.493392367657476,0.158,0.181,0.000117532652218101
"Kcnn4",4.07107557052532e-08,-0.82628313192372,0.176,0.186,0.00012213226711576
"Cma1",4.12785610755083e-08,-3.15296018412218,0.307,0.015,0.000123835683226525
"Scrn2",4.31660631638323e-08,0.454970635526291,0.201,0.122,0.000129498189491497
"C18h18orf21",4.39535921773628e-08,-0.570554687932511,0.15,0.069,0.000131860776532089
"Ccna2",4.40471821664549e-08,-0.845547813832324,0.061,0.141,0.000132141546499365
"Akr1c12",4.49934956028719e-08,0.674173214570976,0.18,0.159,0.000134980486808616
"Tssc4",4.51371319037649e-08,0.804814519788241,0.232,0.263,0.000135411395711295
"Nap1l4",4.6400745486356e-08,1.93844154461699,0.176,0.315,0.000139202236459068
"Ilf2",5.16427681768436e-08,1.59750939491276,0.174,0.248,0.000154928304530531
"Hexd",5.21919154012135e-08,1.00735829682955,0.211,0.176,0.000156575746203641
"Zfp653",5.24131630866314e-08,-1.32043791595762,0.16,0.06,0.000157239489259894
"Eif2b5",5.33637165622446e-08,1.79356694676133,0.188,0.232,0.000160091149686734
"Cdk9",5.34766361989348e-08,-0.549074567610981,0.236,0.248,0.000160429908596805
"Cnn2",5.54906134081604e-08,-0.41646422862704,0.152,0.076,0.000166471840224481
"Rtn1",5.59021136151383e-08,-4.94818407150343,0.266,0.012,0.000167706340845415
"Srpx",5.63165930071535e-08,-1.65582689473653,0.131,0.045,0.000168949779021461
"Stip1",5.66145082700848e-08,-3.19368957927759,0.148,0.074,0.000169843524810255
"Ino80e",5.67939502572744e-08,-0.321763739799085,0.211,0.112,0.000170381850771823
"Raver1",6.27048894402843e-08,1.05087283706441,0.148,0.285,0.000188114668320853
"Ecsit",6.4104591680943e-08,0.5520513342957,0.211,0.102,0.000192313775042829
"Lrrfip1",6.49180611959609e-08,-0.341859765096806,0.377,0.394,0.000194754183587883
"Hsph1",6.68550494560796e-08,1.57144468551736,0.105,0.257,0.000200565148368239
"Jchain",7.40057245883106e-08,-0.510177624516222,0.34,0.247,0.000222017173764932
"Pdlim3",7.4551839136171e-08,1.19039308662554,0.117,0.151,0.000223655517408513
"Acap1",7.74916502451873e-08,-1.12746348354798,0.188,0.136,0.000232474950735562
"Cct3",7.7897656384734e-08,-0.490521847933999,0.162,0.188,0.000233692969154202
"Lsm5",7.89623643904544e-08,0.270088282262796,0.223,0.247,0.000236887093171363
"Zfp958",8.91084232992855e-08,-0.81928416486027,0.15,0.052,0.000267325269897856
"Asph",9.13598979435536e-08,-0.748997376058296,0.152,0.107,0.000274079693830661
"Ptbp2",9.2987837842603e-08,-2.16931635106845,0.205,0.049,0.000278963513527809
"Galt",9.33749799497822e-08,-0.970221264813689,0.109,0.072,0.000280124939849347
"Chfr",9.35691782162916e-08,-0.441772298813249,0.254,0.275,0.000280707534648875
"Epb41l2",9.46439305661051e-08,-0.575226477970031,0.383,0.185,0.000283931791698315
"Dhx16",9.68295461157785e-08,0.62712740771557,0.252,0.203,0.000290488638347335
"Pced1a",9.88586726075092e-08,0.848164607196244,0.152,0.04,0.000296576017822528
"Ccl6",1.00615882430612e-07,0.361285890307823,0.209,0.159,0.000301847647291837
"Sp110",1.04653601143399e-07,0.259914471435975,0.246,0.233,0.000313960803430197
"Clstn1",1.10547965070711e-07,0.785167348297004,0.145,0.141,0.000331643895212133
"Asmtl",1.23697072879503e-07,1.22519801644142,0.312,0.228,0.000371091218638508
"Ankfy1",1.25879730942862e-07,1.36003130402508,0.213,0.255,0.000377639192828586
"Frat2",1.29024647920455e-07,-0.560951633622339,0.305,0.331,0.000387073943761366
"Cyba",1.32789842736155e-07,1.49743925733224,0.293,0.319,0.000398369528208466
"Slbp",1.34573879586603e-07,-0.365837503098339,0.178,0.216,0.000403721638759809
"Serinc5",1.45924351357027e-07,-0.752408448365242,0.213,0.169,0.00043777305407108
"Relch",1.47727579194493e-07,0.284977185939947,0.242,0.221,0.000443182737583478
"Ddc",1.5484147100038e-07,0.747507196422573,0.176,0.104,0.00046452441300114
"Matn2",1.57392667532188e-07,0.47530423906639,0.164,0.079,0.000472178002596564
"Sub1",1.63282484979879e-07,0.350984462007616,0.154,0.248,0.000489847454939638
"Slmap",1.63615876046449e-07,1.12307964861424,0.188,0.216,0.000490847628139348
"Ksr1",1.64117233018465e-07,-0.312271613987444,0.355,0.379,0.000492351699055395
"Emc1",1.66986078448381e-07,-0.586506712999551,0.221,0.139,0.000500958235345142
"Rpl37",1.82443861505032e-07,-4.15500415848572,0.213,0.183,0.000547331584515095
"Meaf6",2.16081240722537e-07,-0.736593564338969,0.191,0.119,0.000648243722167612
"C1r",2.20936273376005e-07,-0.914780584613361,0.178,0.094,0.000662808820128016
"Tgm2",2.29803361402635e-07,-1.54819908612484,0.223,0.208,0.000689410084207905
"Oxnad1",2.468361644539e-07,-0.625308361217044,0.242,0.062,0.000740508493361699
"Gabarapl1",2.46836314502092e-07,-0.580734775629392,0.207,0.205,0.000740508943506276
"Tomm7",2.50084291061993e-07,-1.43580352174038,0.117,0.196,0.000750252873185979
"Col1a1",2.55675465976384e-07,-0.532458871819597,0.256,0.223,0.000767026397929153
"Atp6v1c1",2.65884949745866e-07,1.38822802242607,0.316,0.232,0.000797654849237599
"Ptov1",2.70457504447721e-07,0.266706060915909,0.324,0.252,0.000811372513343162
"Sord",2.75933909371376e-07,-0.817155489485472,0.102,0.025,0.000827801728114129
"Agrn",3.00728916890371e-07,-0.480480057077065,0.363,0.336,0.000902186750671114
"Gramd1a",3.0894757221369e-07,0.325339595834087,0.184,0.208,0.000926842716641069
"Irag1",3.32599757271542e-07,-0.571697010025464,0.1,0.116,0.000997799271814625
"Retsat",3.50953458756528e-07,-0.666165552192419,0.268,0.347,0.00105286037626958
"Wbp11l1",3.71385789664736e-07,0.345316290436592,0.145,0.258,0.00111415736899421
"Btaf1",3.7249225981294e-07,0.602253589705786,0.213,0.104,0.00111747677943882
"Supt5h",3.95695921642922e-07,1.20151161592422,0.203,0.279,0.00118708776492877
"Trrap",4.05602843696004e-07,-0.623604680516164,0.273,0.074,0.00121680853108801
"Tbc1d14",4.45040054416044e-07,0.828521968264562,0.262,0.092,0.00133512016324813
"Usp3",4.67039330093869e-07,1.85637626049378,0.199,0.216,0.00140111799028161
"Rangap1",4.69342390026433e-07,0.921394414285727,0.209,0.243,0.0014080271700793
"Rps27l3",4.79605739218081e-07,-0.267408998567572,0.119,0.111,0.00143881721765424
"Emc6",4.8816398954516e-07,0.961558514621519,0.201,0.28,0.00146449196863548
