"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nup214",0.00188806232924441,-1.06734918982476,0.881,0.333,1
"Arl2bp",0.00188806232924441,-0.896527577207115,0.714,0.294,1
"Trim35",0.00188806232924441,-0.902668439966401,0.69,0.333,1
"Cdk17",0.00188806232924441,1.01291551024161,0.167,0.078,1
"Fancd2",0.00188806232924441,1.16964790821903,0.286,0.314,1
"Xpot",0.00193796809349233,-1.23197153980558,1,0.333,1
"Cherp",0.00193796809349233,0.995707813511173,0.095,0.196,1
"Uba5",0.00193796809349233,1.79208447404072,0.19,0.275,1
"Cox19",0.00193796809349233,1.52946200576137,0.286,0.333,1
"Ino80e",0.00198908243500506,2.15891855854139,0.738,0.333,1
"Serpinf1",0.00198908243500506,-1.16411452511748,0.31,0.059,1
"Polr1h",0.00198908243500506,1.38959831821363,0.167,0.314,1
"Numbl",0.00198908243500506,0.77272536785945,0.119,0.039,1
"Myo5c",0.00198908243500506,0.557543008431258,0.167,0.196,1
"Ints13",0.00209504192591806,-2.48829315451742,0.976,0.314,1
"Dctn4",0.00214994082693125,5.02216266504587,0.143,0.353,1
"Eif3el1.1",0.00214994082693125,1.29548001131732,0.476,0.314,1
"Cdk16",0.00214994082693125,2.33381781494362,0.31,0.431,1
"Hspd1l1",0.00220615582213476,0.692349623544503,0.952,0.431,1
"Glcci1",0.00226371503180597,1.51271907995986,0.476,0.353,1
"Birc5",0.0023226470864992,-1.20298947320783,0.857,0.294,1
"Rps13",0.0023226470864992,-0.812446149814217,0.19,0.333,1
"Sema3f",0.0023226470864992,-0.591925871410011,0.095,0.157,1
"Ptpn11",0.0023226470864992,2.3105421742736,0.214,0.196,1
"Tafazzin",0.00238298113405214,0.585887349534963,0.5,0.314,1
"Lrpprc",0.00244474684663438,0.839166903929571,0.81,0.333,1
"Spop",0.00244474684663438,1.0731862888869,0.405,0.294,1
"Tle3",0.00250797442783743,-1.72154671343595,0.833,0.353,1
"Fxyd1",0.00250797442783743,0.643360669437104,0.143,0.098,1
"Rab5b",0.0025726946198045,1.50063049860693,0.81,0.333,1
"Slx4",0.0025726946198045,2.56740368778618,0.571,0.235,1
"Ccl6",0.00263893871039938,-0.519076908689955,0.952,0.333,1
"Arglu1",0.00263893871039938,1.76954236268129,0.024,0.275,1
"Cep95",0.00263893871039938,0.722794719700694,0.048,0.118,1
"Sdhaf2",0.00263893871039938,1.04179599495551,0.286,0.255,1
"Rnf19b",0.00270673854041277,0.26284716387588,0.119,0.255,1
"Nfx1",0.00277612651080502,0.543170512960931,0.238,0.314,1
"Snrnp25",0.00284713558998384,-1.87590438410249,0.929,0.333,1
"Psmb5",0.00284713558998384,1.50523172788968,0.286,0.784,1
"Zwint",0.00284713558998384,1.97023495886153,0.786,0.373,1
"Tssc4",0.00284713558998384,-0.570698088535681,0.19,0.569,1
"Agbl5",0.00284713558998384,0.294501208005941,0.048,0.235,1
"Rac2",0.00284713558998384,1.18353715970444,0.5,0.314,1
